base_bid,clicks,CTR,cost,avg CPM,eCPC
3,82,1.0714752384685744,128.37799999999916,16.77485953220948,1.5655853658536483
4,83,0.8758970029548332,180.11099999999635,19.00707049387889,2.170012048192727
5,84,0.7286606523247745,238.33199999999243,20.674184594031267,2.837285714285624
6,89,0.6586737714624038,300.4799999999841,22.23801065719243,3.37617977528072
7,93,0.6040530007794231,362.4769999999755,23.543582748764322,3.8976021505373706
8,94,0.5433211953066296,427.3369999999683,24.700132940290636,4.5461382978720035
9,98,0.5112154407929056,492.36599999996207,25.68419405320616,5.02414285714247
10,103,0.4875508851651993,561.8499999999485,26.595190760198264,5.454854368931539
11,104,0.4513301219459272,628.4359999999377,27.27231697261371,6.0426538461532475
12,107,0.4291845493562232,694.9709999999264,27.87577714491703,6.495056074765667
13,109,0.40641312453392986,762.8939999999153,28.444966442949863,6.999027522935003
14,111,0.3860332475481672,836.4459999999012,29.089726646723975,7.5355495495486595
15,114,0.37000973709834467,914.7949999998878,29.69149626744199,8.024517543858664
16,117,0.3563705034875575,991.1839999998729,30.190490694766314,8.471658119657032
17,118,0.337924911939059,1071.2759999998864,30.678885420541434,9.078610169490563
18,119,0.32113557858376507,1156.7279999999178,31.215673575127312,9.720403361343847
19,121,0.3088389188085454,1243.812999999938,31.746930753718523,10.279446280991223
20,124,0.30051135399752804,1331.6049999999523,32.271163027408384,10.738749999999616
21,125,0.2887169419101513,1417.400999999966,32.738214574430444,11.339207999999728
22,127,0.28014911874352016,1507.7479999999707,33.25939161317298,11.872031496062762
23,127,0.26790988102269847,1595.9579999999653,33.66715888954445,12.566598425196577
24,130,0.2623030205201671,1692.9149999999659,34.15820907568382,13.022423076922815
25,133,0.25713401902405075,1791.2459999999617,34.63084834892819,13.468015037593696
26,135,0.2504080724143048,1889.584999999947,35.04943240836821,13.996925925925535
27,136,0.24306982895748067,1984.4659999999374,35.46792729352357,14.591661764705421
28,139,0.239572561185798,2083.061999999947,35.90248190279123,14.986057553956455
29,140,0.23308082910180636,2180.1139999999914,36.295912761175245,15.572242857142795
30,141,0.22702754922955545,2279.8730000000282,36.70879288969083,16.169312056737787
31,141,0.21954067730634488,2384.260000000083,37.12355001946412,16.90964539007151
32,142,0.21447559207346542,2483.3070000001285,37.507657684873855,17.488077464789637
33,143,0.20941334973493836,2589.590000000162,37.92270743637293,18.109020979022112
34,144,0.2048335016571599,2690.3130000002125,38.26848835720989,18.682729166668143
35,144,0.19929140832595219,2793.675000000267,38.66357119132345,19.40052083333519
36,145,0.19526252710109213,2896.872000000311,39.01038257989349,19.97842758620904
37,146,0.19150554841417666,3003.455000000366,39.395773761121305,20.571609589043604
38,146,0.18684173481271035,3105.664000000431,39.74435955516862,21.27167123287966
39,146,0.18226305802456808,3210.4110000005003,40.078036053137176,21.98911643835959
40,147,0.17917651934375076,3319.0090000005484,40.45499865923001,22.578292517010535
41,148,0.17641729843131645,3422.3060000005967,40.79418776522906,23.12368918919322
42,148,0.17272769711964894,3523.040000000656,41.116661220305495,23.804324324328757
43,148,0.16930926396229437,3623.774000000708,41.45530464228508,24.484959459464243
44,148,0.16587465255984937,3728.451000000752,41.787534744023496,25.19223648649157
45,149,0.16375965797311703,3829.549000000799,42.088968753786794,25.70167114094496
46,150,0.16170588932848937,3934.3450000008575,42.41378381001561,26.228966666672385
47,150,0.15857577807848444,4041.474000000919,42.72532560894071,26.943160000006127
48,151,0.1567398119122257,4146.929000000997,43.04562062738481,27.463105960271502
49,152,0.15490761595140792,4253.997000001089,43.35371931148751,27.986822368428218
50,153,0.1533311953820252,4356.487000001166,43.65917381545304,28.473771241837685
51,156,0.15368398238545125,4462.713000001267,43.964583723302496,28.607134615392734
52,156,0.151184765227504,4566.414000001352,44.2546300334482,29.271884615393283
53,156,0.1487825581062651,4667.543000001441,44.51596074430803,29.920147435906674
54,157,0.1474690737627157,4767.867000001518,44.7842630773275,30.368579617844066
55,158,0.1461650184556463,4870.138000001604,45.05340573745437,30.823658227858253
56,159,0.14493414156146028,4973.04600000165,45.331078802257416,31.277018867934906
57,159,0.14290336496980155,5071.9810000017205,45.585103897053145,31.899251572337864
58,159,0.1408238638879786,5179.3850000017865,45.873019387653436,32.57474842768419
59,159,0.1388403772266853,5287.082000001826,46.16732448482209,33.252088050325945
60,160,0.13791082341381003,5382.701000001888,46.39579544378745,33.6418812500118
61,160,0.13606830628975747,5482.344000001971,46.623328911130145,34.26465000001232
62,160,0.1343194620505545,5585.32400000207,46.888607191145574,34.908275000012935
63,160,0.13265788360928937,5684.687000002133,47.13240915009521,35.52929375001333
64,161,0.13188829634726762,5784.846000002191,47.38841512867048,35.93072049690802
